# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Minimum cage offset. This specifies the minimum distance the cage will trace from the low-poly mesh. This value corresponds to black in the offset map.;最小笼子的位移。 此处指定了笼盖与低孔网状网状网状网状网状网状网状网状网状网状网状网的最小距离. 此值对应偏移图中的黑色 。
Maximum cage offset. This specifies the maximum distance the cage will trace from the low-poly mesh. This value corresponds to white in the offset map.;最大笼盖偏移。 此处指定了笼盖从低孔网状物跟踪的最大距离. 此值对应于偏移图中的白色 。
Overwrites the current cage offset map with a best-guess estimate for height.;覆盖当前笼盖偏移图,并给出高度的最佳估计值。
Set the visibility of the offset cage that the baker uses.;设定面包师使用的抵消笼的能见度.
Exclude this mesh from the Ignore Groups option for passes such as AO, Thickness, Lighting.;将这个网格从 AO 、 厚度 、 照明 等 忽略组 选项中排除 。
Use a custom cage when baking. You may want to do this for better fine grain control over the location of cage points.;烘焙时使用定制笼. 你也许想这样做 更好的精细的谷物控制 笼点的位置。
Remove the custom cage for this mesh.;删除此网格的自定义笼子 。
Brush Color;刷子颜色
Brush Size;刷子大小
Brush Flow;笔刷流
Brush Value;刷新数值
Brush Sharpness;笔刷锋利
Clear the canvas to its default color.;清除画布到默认颜色 。
Linear;线性
Radial;辐射
Reflected;反映
Diamond;钻石
Knurled;弯曲
Plays the animation.;播放动画.
Pauses the animation.;暂停动画.
Goes to the first frame.;进入第一帧
Goes to the previous frame.;转到前一个框架。
Goes to the next frame.;到下一个框。
Goes to the previous keyframe.;转到上一个键框 。
Goes to the next keyframe.;转到下一个键框 。
Goes to the last frame.;转到最后一帧。
Toggles looping of animation playback.;切换动画回放的循环.
Determines the total frame count of the animation.;确定动画的总帧数。
Determines the frame rate, or frames per second, of the animation.;确定动画的帧率或帧每秒。
Determines the length of the animation in seconds.;以秒决定动画的长度。
Sets the playback speed for preview purposes. Preview speed is not applied to exported video content.;为预览目的设定播放速度。 预览速度不适用于导出视频内容 。
Scales the animation to match the preview speed. Use this if you want to permanently speed up or slow down your animation.;缩放动画以匹配预览速度。 如果您想要永久加快或慢化动画, 请使用此功能 。
Determines whether to show all frames in the timeline or only the frames within the selection range.;确定是显示时间表中的所有框架,还是只显示选择区域内的框架。
Trims the animation to the selected frame range.;将动画调整到选定的帧范围。
Sets the falloff for the selected control point to stepped, which is useful for instantaneous changes in motion.;设置选定控制点的掉落点,这对运动的瞬间变化有用。
Sets the falloff for the selected control point to linear, which is useful for constant motion like a camera rotating at a fixed rate.;将选定控制点的掉落值设定为线性,这对像照相机一样以固定速率旋转的恒定运动是有用的.
Sets the falloff for the selected control point to smooth, which is useful for setting up smooth changes in motion or velocity.;将选定控制点的掉落点设置为平滑,这对设置运动或速度的平滑变化有用。
Splits the falloff for the selected control point into separate before-and-after tangents, which can be independently edited.;将选定的控制点的掉落点分割成独立的前后切换点,这些切换点可以独立编辑。
Add a new keyframe, or control point for the selected channels at the current frame.;在当前框架中为选定的频道添加新的密钥框架或控制点。
Deletes the selected control point(s).;删除选中的控制点。
Deletes ALL keyframed data for the selected object(s).;删除选定对象的所有密钥框架数据。
Toggles the display of multiple channels between stacked and overlaid drawing styles.;切换堆叠和覆盖的绘图样式之间的多个通道显示。
Toggles the display of numeric values.;切换数值显示。
Toggles the auto-fit function. When on, auto-fit will scale the visible range to fill out the vertical space in the keyframe editor.;切换自动适应功能。 启用时,自动适配会缩放可见范围,以填充键框编辑器中的垂直空间.
Resets the zoom state.;重置缩放状态 。
Sets the current animation for the object.;为对象设置当前动画。
Sets the playback speed for the object.;设定对象的播放速度。
Smoothly interpolate start and end frames.;平滑的内插始末帧.
The name of the custom animation (this will appear in the dropdown list).;自定义动画的名称( 这将出现在下拉列表中) 。
The start frame of the custom animation, using the original model FPS.;定制动画的起始帧,使用原型号FPS.
The end frame of the custom animation, using the original model FPS.;定制动画的末端框,采用原型FPS.
The total playback duration in scene time.;场景时间的总播放时间.
Delete the custom animation entry.;删除自定义动画条目。
Add a custom animation entry.;添加自定义动画条目 。
Import matching animation data from another file (models must be similar).;从另一个文件中导入匹配的动画数据(模型必须相似).
Automatically adjust the spin rate for a continuous loop (based on timeline length).;自动调整连续循环的自旋率(基于时间长度).
Add a new paint layer.;添加新的油漆层 。
Add a new vector layer.;添加一个新的矢量层 。
Add a new fill layer.;添加新的填充层 。
Add a new decal layer.;添加一个新的标记层 。
Add a new adjustment layer.;添加新的调整层 。
Add a new input processor layer.;添加一个新的输入处理器层 。
Add a new procedural layer.;增加一个新的程序层。
Duplicate the selected item.;复制选中的项目 。
